1:nfix,Building number,Climate,Building use,Roof height factor,Ventilation,Shading setpoint,Lighting density,W2WR,U-value walls,U-value roof,U-value floors,U-value windows,Carbon intensity of construction,Cooling setpoint,Cooling setback,Heating setpoint,Heating setback,Lighting setpoint,Occupant density,Equipment gains,g-value,Infiltration
38,8358,6,2,0.051844214,0.000204475,56.33443356,2.667693229,0.530581138,0.597582629,0.597582629,0.597582629,1.762751686,45,26.89117421,4,20.00949887,4,400,37.96268707,1.891436154,0.555555556,6.62E-05
39,4880,19,2,0.286099213,0.00028671,218.8789052,1.978530765,0.440203269,1.003791918,1.003791918,1.003791918,1.328474347,45,28.56584441,4,19.8648083,4,400,32.83911041,2.485150694,0.555555556,5.44E-05
40,9710,12,2,0.169919904,0.000278262,207.2222114,1.915199427,0.606624696,0.543088698,0.543088698,0.543088698,1.164814258,45,27.28462325,4,20.35921075,4,400,39.1877034,2.625909234,0.555555556,4.93E-05
41,11276,23,2,0.391479215,0.000190421,49.74715173,2.720175621,0.322008832,0.914518083,0.914518083,0.914518083,2.473283854,45,25.69928571,4,19.52415682,4,400,33.22497882,1.497030687,0.555555556,0.000102518
42,10079,19,2,0.080212259,0.000164043,305.2186421,2.425482107,0.266805345,0.249521219,0.249521219,0.249521219,1.295329364,45,26.38852027,4,19.08185184,4,400,35.18892512,2.082860163,0.555555556,5.34E-05
43,8275,3,2,0.258408375,0.000247452,147.694926,1.564840935,0.751427793,0.633375406,0.633375406,0.633375406,1.73095525,45,27.68888129,4,21.13396201,4,400,28.12347951,2.200882109,0.555555556,6.53E-05
44,5045,8,2,0.139313642,0.00021845,317.1637911,2.970626657,0.80492561,1.135637436,1.135637436,1.135637436,0.918224161,45,27.50809521,4,19.71894327,4,400,37.18178833,1.983473801,0.555555556,3.84E-05
45,4839,5,2,0.323617472,0.000290042,159.6095347,2.13351551,0.11415743,0.463756271,0.463756271,0.463756271,2.227474693,45,26.19258488,4,20.17154385,4,400,32.06177858,2.269622634,0.555555556,8.12E-05
46,4649,21,2,0.01056788,0.000224232,255.3953597,1.698167358,0.471649259,0.840665873,0.840665873,0.840665873,1.487953304,45,26.76451635,4,21.46341137,4,400,40.66930171,2.373202914,0.555555556,5.88E-05
47,11247,1,2,0.226508527,0.000147073,97.94839174,2.573365672,0.562424016,0.183455606,0.183455606,0.183455606,1.92092874,45,28.42393,4,18.83793176,4,400,33.96500273,1.86105567,0.555555556,7.06E-05
48,9272,13,2,0.062994781,0.000144939,130.9066087,1.615461986,0.22198268,0.49887741,0.49887741,0.49887741,1.380846745,45,27.90988819,4,20.9924372,4,400,31.63263075,1.981666018,0.555555556,5.59E-05
49,3532,19,2,0.297493209,0.000226532,293.3715999,2.28127704,0.706598921,0.976996246,0.976996246,0.976996246,1.822851197,45,26.57226907,4,18.92559106,4,400,37.55408497,2.304023626,0.555555556,6.78E-05
50,3029,3,2,0.18708048,0.000297908,31.65253967,2.675403059,0.651450461,0.203906122,0.203906122,0.203906122,1.072164131,45,25.14260494,4,19.60719459,4,400,34.28203446,2.432615283,0.555555556,4.59E-05
51,8809,0,2,0.352436,0.00021075,194.1863289,2.053533117,0.366828405,0.696695855,0.696695855,0.696695855,2.387880202,45,27.11813143,4,20.42492843,4,400,39.90984478,1.838365666,0.555555556,9.06E-05
52,159,25,2,0.046530731,0.000244596,100.9647262,2.528786855,0.414134325,1.197835038,1.197835038,1.197835038,1.573650623,45,29.21950937,4,18.65032436,4,400,33.56049108,2.526141995,0.555555556,6.11E-05
53,11055,1,2,0.218675265,0.000166753,263.5095197,1.836696401,0.504902891,0.419264423,0.419264423,0.419264423,2.013071551,45,26.92699273,4,21.23900719,4,400,38.67391255,1.638316867,0.555555556,7.34E-05
54,6283,22,2,0.103404545,0.000197564,161.4761296,2.183964274,0.862449747,0.904267285,0.904267285,0.904267285,0.825767415,45,25.94039472,4,20.24373905,4,400,25.89746791,2.093792704,0.555555556,3.08E-05
55,10558,1,2,0.331406159,0.000270972,323.9325556,2.826250554,0.17167536,0.138121472,0.138121472,0.138121472,2.142304514,45,27.32997966,4,19.78674663,4,400,35.50246193,2.172138826,0.555555556,7.78E-05
56,699,24,2,0.024586638,0.000283776,332.4615207,2.936640469,0.775542026,0.813870613,0.813870613,0.813870613,1.868468756,45,27.84873551,4,20.62271328,4,400,30.21071547,2.339315554,0.555555556,6.91E-05
57,4623,4,2,0.239893327,0.000207263,174.937478,2.084789522,0.291310132,0.084750798,0.084750798,0.084750798,1.427726087,45,26.43668028,4,19.43758305,4,400,35.77616462,2.055335968,0.555555556,5.72E-05
58,6950,7,2,0.125525354,0.000158307,230.0964797,1.769565536,0.347880901,1.108561139,1.108561139,1.108561139,2.178440155,45,25.60475996,4,19.19317834,4,400,32.47103268,1.950991593,0.555555556,7.92E-05
59,1922,22,2,0.309974951,0.000230544,72.62174189,2.583329272,0.632106022,0.364770428,0.364770428,0.364770428,0.861409105,45,27.16515893,4,20.76974445,4,400,38.39758043,2.462538578,0.555555556,3.43E-05
60,3778,16,2,0.090886275,0.000184199,221.8951711,1.928082872,0.586344498,0.294319776,0.294319776,0.294319776,1.677340543,45,28.15741003,4,19.96040445,4,400,34.47932367,1.701820156,0.555555556,6.39E-05
61,688,24,2,0.26893672,0.000266962,64.44849163,2.81206855,0.495960247,0.750014417,0.750014417,0.750014417,1.235830042,45,26.72544858,4,20.09013665,4,400,43.86961442,2.813825952,0.555555556,5.16E-05
62,8436,17,2,0.158988047,0.00025873,280.5468231,2.356235613,0.140226326,0.588168292,0.588168292,0.588168292,2.42310801,45,26.24712026,4,21.76038405,4,400,31.23321989,2.240394271,0.555555556,9.41E-05
63,8998,14,2,0.381181411,0.000170244,122.9922831,1.52791487,0.83060381,1.03143813,1.03143813,1.03143813,1.10871368,45,27.64834004,4,18.09313733,4,400,36.37604178,2.123485698,0.555555556,4.73E-05
64,8889,7,2,0.01348919,0.000171891,208.9642799,1.574795738,0.165672567,1.145203478,1.145203478,1.145203478,0.804340077,45,25.37740189,4,20.26733356,4,400,29.6528194,2.762694497,0.555555556,2.80E-05
65,6915,7,2,0.247792258,0.000259107,46.41019642,2.403121913,0.850288524,0.47441191,0.47441191,0.47441191,2.112355705,45,27.09284161,4,19.76529229,4,400,35.99209146,1.720750529,0.555555556,7.67E-05
66,1215,2,2,0.136378599,0.000265172,308.438696,2.765198078,0.507786835,0.851347251,0.851347251,0.851347251,1.547096377,45,27.96147264,4,18.60753105,4,400,32.76961947,2.118638987,0.555555556,6.04E-05
67,8455,2,2,0.302320008,0.000183638,145.9915575,1.881209069,0.423164491,0.192978293,0.192978293,0.192978293,1.981413738,45,26.52096203,4,21.27707168,4,400,38.10440951,2.245355327,0.555555556,7.24E-05
68,9422,7,2,0.095633539,0.000232332,319.1790277,2.536448336,0.370493599,0.551533681,0.551533681,0.551533681,0.994580524,45,25.85836695,4,19.62650094,4,400,34.69086455,2.061984331,0.555555556,4.25E-05
69,8070,17,2,0.267192088,0.000158866,156.7038333,1.722679303,0.661261877,0.921806569,0.921806569,0.921806569,2.305139516,45,27.36437493,4,20.40745224,4,400,42.09014968,2.331908784,0.555555556,8.51E-05
70,10874,1,2,0.15448489,0.000205613,258.4180006,2.131660106,0.706064878,0.256835444,0.256835444,0.256835444,1.301554108,45,28.97964452,4,20.95766902,4,400,30.89168891,2.470709657,0.555555556,5.36E-05
71,3455,14,2,0.382681769,0.000283397,95.89441687,2.98351416,0.215290207,0.641777035,0.641777035,0.641777035,1.734983578,45,26.97989278,4,18.96423356,4,400,36.64369368,1.944587213,0.555555556,6.54E-05
72,8109,19,2,0.073921378,0.000271826,88.01911443,2.873124717,0.831729923,0.311294605,0.311294605,0.311294605,2.446377696,45,25.5162519,4,21.84351497,4,400,31.97557178,1.609566915,0.555555556,9.71E-05
73,6981,10,2,0.289813957,0.000199686,245.4759994,2.230834391,0.147498698,0.731085194,0.731085194,0.731085194,1.137033737,45,27.21414024,4,17.9669232,4,400,37.30112948,2.539087248,0.555555556,4.83E-05
74,7800,3,2,0.176007557,0.000166044,189.3825585,1.789810461,0.491715284,0.60487007,0.60487007,0.60487007,1.702319259,45,27.77892149,4,19.93784834,4,400,34.02716129,2.167090831,0.555555556,6.46E-05
75,10291,22,2,0.360261793,0.000242655,346.9268954,2.481905631,0.575941071,1.012238049,1.012238049,1.012238049,1.269277033,45,26.4680702,4,20.11208819,4,400,40.39169049,2.098919302,0.555555556,5.26E-05
76,5624,22,2,0.041954413,0.000211461,117.6095501,2.006659065,0.630204809,0.796871073,0.796871073,0.796871073,2.254395036,45,26.28449575,4,19.22233047,4,400,33.3332819,2.31133504,0.555555556,8.25E-05
77,7734,9,2,0.220200123,0.000299851,275.1428804,2.62853283,0.339821224,0.103722211,0.103722211,0.103722211,0.945992165,45,27.58657076,4,20.7390924,4,400,39.07370332,1.973836824,0.555555556,4.00E-05
78,9190,7,2,0.108127476,0.00022568,59.98877168,2.328162912,0.296342495,1.091850073,1.091850073,1.091850073,1.949550545,45,28.25370543,4,20.60145086,4,400,27.61604867,1.846528957,0.555555556,7.14E-05
79,3781,10,2,0.329734855,0.000142819,217.4542195,1.662343277,0.786720648,0.384032507,0.384032507,0.384032507,1.514018151,45,26.69363983,4,19.45732036,4,400,35.25118296,2.425612054,0.555555556,5.95E-05
80,4917,21,2,0.168176141,0.000145129,333.8520625,2.620249401,0.447475599,0.283630842,0.283630842,0.283630842,1.794222755,45,26.6453658,4,20.02590749,4,400,38.5836824,2.26051475,0.555555556,6.70E-05
81,6999,22,2,0.396225823,0.000223517,171.4052507,1.745050797,0.531707198,0.740481979,0.740481979,0.740481979,1.354788508,45,28.01966103,4,19.84645368,4,400,33.6733231,1.993574201,0.555555556,5.52E-05
82,8350,13,2,0.081711913,0.00029216,233.7462568,2.086642176,0.875966796,0.578610115,0.578610115,0.578610115,2.360966599,45,27.04972142,4,18.3497613,4,400,35.56755748,1.854219382,0.555555556,8.86E-05
83,7976,1,2,0.253906041,0.000219298,71.1918515,2.923755715,0.191741392,1.02079255,1.02079255,1.02079255,1.044389413,45,24.34345886,4,22.50339055,4,400,22.98695458,2.378598764,0.555555556,4.47E-05
84,9771,7,2,0.147213419,0.000245336,224.2619345,1.517957138,0.239795066,0.806548556,0.806548556,0.806548556,2.041687476,45,26.85842726,4,19.36079046,4,400,37.68323509,1.566822337,0.555555556,7.43E-05
85,832,23,2,0.312519345,0.000163198,61.7380622,2.378598735,0.73017904,0.076339145,0.076339145,0.076339145,1.599723045,45,28.7402762,4,20.49029069,4,400,31.54254969,2.600438017,0.555555556,6.18E-05
86,6526,12,2,0.002912306,0.000192367,283.1397408,2.767049066,0.686743322,1.100123747,1.100123747,1.100123747,2.169230634,45,27.40238503,4,20.84325177,4,400,39.70503599,2.205025414,0.555555556,7.88E-05
87,7294,18,2,0.237362666,0.000278979,120.6648302,1.962070257,0.396365549,0.357491727,0.357491727,0.357491727,0.853527948,45,26.05433266,4,19.30300012,4,400,34.35070104,2.078643436,0.555555556,3.36E-05
88,3298,24,2,0.119217976,0.000286156,132.9166788,2.025402067,0.550262752,1.190555155,1.190555155,1.190555155,1.454639585,45,26.32882613,4,21.53357169,4,400,44.77084713,2.011026591,0.555555556,5.79E-05
89,9249,18,2,0.341363273,0.000202688,290.4612994,2.714566208,0.465646412,0.410828042,0.410828042,0.410828042,1.896243579,45,27.72874693,4,18.79580151,4,400,34.37147278,2.351553935,0.555555556,6.99E-05
90,11089,17,2,0.030706619,0.000151624,34.68035191,2.264775975,0.123187543,0.895856643,0.895856643,0.895856643,0.890037442,45,27.25551703,4,19.70150833,4,400,36.30698419,2.47817287,0.555555556,3.65E-05
91,3084,22,2,0.20870747,0.000239407,192.1369484,1.619557661,0.807809512,0.130798234,0.130798234,0.130798234,2.204498497,45,25.80596163,4,20.18908143,4,400,31.38929971,1.897398281,0.555555556,8.02E-05
92,10758,14,2,0.190393941,0.00018587,102.7022338,2.844997365,0.761239155,0.488230785,0.488230785,0.488230785,1.208904026,45,26.8161842,4,19.10886058,4,400,35.67067363,2.719445572,0.555555556,5.07E-05
93,11714,15,2,0.374893131,0.000263087,260.1673597,2.176249562,0.270470497,0.967439218,0.967439218,0.967439218,1.649579906,45,28.34822124,4,21.10398734,4,400,30.33563254,1.782844339,0.555555556,6.32E-05
94,4046,21,2,0.059670639,0.000251338,164.7007397,1.867067476,0.315316318,0.194374833,0.194374833,0.194374833,1.080097859,45,27.54192454,4,20.33625025,4,400,38.54136952,2.156608238,0.555555556,4.62E-05
95,1630,17,2,0.275025396,0.000179806,322.2343966,2.48601039,0.6060906,0.686005874,0.686005874,0.686005874,2.397035483,45,26.12466627,4,19.54881889,4,400,32.38878763,2.225213401,0.555555556,9.14E-05
96,719,24,2,0.308648782,0.00021636,335.3169274,1.55211429,0.303837247,0.890615336,0.890615336,0.890615336,1.215390008,45,28.19157781,4,18.28386488,4,400,41.59712639,2.065952119,0.555555556,5.09E-05
97,3979,2,2,0.130843282,0.000294826,177.869963,2.425940732,0.613063035,0.151492839,0.151492839,0.151492839,1.656977124,45,26.74319203,4,21.97088051,4,400,34.90082175,2.192912632,0.555555556,6.33E-05
98,7934,23,2,0.241231169,0.000220891,237.0859697,2.740958747,0.769584309,1.175549427,1.175549427,1.175549427,1.12929051,45,26.26964065,4,20.04941204,4,400,36.85543248,2.569710143,0.555555556,4.80E-05
99,6706,12,2,0.019281236,0.000148107,79.531717,1.905219471,0.260353082,0.441830496,0.441830496,0.441830496,2.443761454,45,27.66966799,4,19.91971243,4,400,30.66267993,1.457522241,0.555555556,9.67E-05
100,11406,19,2,0.375192566,0.000276606,225.2970737,2.559175572,0.108488873,0.226472221,0.226472221,0.226472221,1.407154247,45,27.87357975,4,20.82043782,4,400,36.12986592,2.394260694,0.555555556,5.66E-05
101,5879,18,2,0.159642553,0.000194389,67.77335405,1.700089355,0.823867024,0.674410269,0.674410269,0.674410269,1.847813626,45,26.45663703,4,19.24332443,4,400,29.14876663,1.873600914,0.555555556,6.85E-05
102,2181,3,2,0.27493802,0.000161137,287.3000333,2.155762096,0.568083608,0.512248871,0.512248871,0.512248871,0.881850817,45,25.64868083,4,19.38915881,4,400,37.8260165,2.007522055,0.555555556,3.59E-05
103,3397,0,2,0.090243562,0.000247671,129.8249701,2.959183335,0.452700024,0.963344392,0.963344392,0.963344392,2.198798577,45,27.18258354,4,20.57393886,4,400,32.89834916,2.273255517,0.555555556,8.00E-05
104,8127,7,2,0.353737324,0.000237347,136.2566158,2.897454112,0.694127548,0.565601919,0.565601919,0.565601919,2.033485413,45,29.61657982,4,19.74609772,4,400,39.44638176,2.212979553,0.555555556,7.40E-05
105,2922,24,2,0.181738566,0.000153958,298.8010839,2.206733831,0.384505206,1.053723441,1.053723441,1.053723441,1.594041067,45,26.94907545,4,20.20319198,4,400,33.21144997,2.144432125,0.555555556,6.17E-05
106,5938,14,2,0.296179352,0.000200316,36.14513576,1.81240184,0.229308204,0.28094859,0.28094859,0.28094859,2.121700652,45,25.97830723,4,21.32585136,4,400,35.11783891,1.755539501,0.555555556,7.70E-05
107,3217,17,2,0.068325027,0.000288176,198.6018848,2.459176965,0.738924159,0.763666546,0.763666546,0.763666546,0.805140135,45,27.3533029,4,18.7397501,4,400,28.47213852,2.666795752,0.555555556,2.81E-05
108,4386,23,2,0.337419753,0.000177178,106.8622926,1.982650094,0.892430007,1.122213362,1.122213362,1.122213362,1.843450036,45,27.94372271,4,20.38219464,4,400,37.07748268,1.914551579,0.555555556,6.84E-05
109,54,16,2,0.10277412,0.000254317,269.3275711,2.65277073,0.176655334,0.351399335,0.351399335,0.351399335,1.401475677,45,26.59629937,4,19.56425966,4,400,32.14763144,2.499218016,0.555555556,5.65E-05
110,8113,16,2,0.212649884,0.000260147,165.7359505,2.305342663,0.434153648,0.83615595,0.83615595,0.83615595,2.367464681,45,25.25425211,4,18.99151678,4,400,40.68923539,2.366292622,0.555555556,8.90E-05
111,7964,5,2,0.047148696,0.000188536,328.2694548,1.685026155,0.549921928,0.062184451,0.062184451,0.062184451,1.051778703,45,27.14032006,4,21.05722224,4,400,33.80979138,2.024594059,0.555555556,4.50E-05
112,211,13,2,0.260222988,0.000180699,200.6246439,2.596240383,0.284479427,0.611234586,0.611234586,0.611234586,2.24813081,45,27.53340323,4,18.56451691,4,400,31.73279266,1.928961788,0.555555556,8.22E-05
113,3553,19,2,0.076164007,0.000267837,43.07010263,1.76928865,0.794101398,0.99042056,0.99042056,0.99042056,0.938796676,45,26.22264814,4,21.18149296,4,400,37.44983603,2.451191976,0.555555556,3.96E-05
114,3747,18,2,0.38965291,0.00025648,301.9736016,2.063821969,0.638947216,0.325177449,0.325177449,0.325177449,1.900569636,45,26.78706155,4,20.29127342,4,400,34.13473845,2.317869034,0.555555556,7.00E-05
115,3353,22,2,0.1739556,0.000174869,144.5269209,2.946438636,0.329330875,0.70120595,0.70120595,0.70120595,1.467510597,45,28.48761607,4,19.83840658,4,400,39.9360968,2.049274156,0.555555556,5.83E-05
116,3247,21,2,0.229860872,0.000281023,310.0186595,1.54228658,0.476632618,1.058629509,1.058629509,1.058629509,2.493647948,45,27.30771107,4,20.93315773,4,400,33.55266646,2.258098146,0.555555556,0.000112167
117,3012,26,2,0.008058142,0.000207635,152.543923,2.354498222,0.592406899,0.396751031,0.396751031,0.396751031,1.185255279,45,25.74885475,4,18.88442279,4,400,38.90778195,2.130705617,0.555555556,4.99E-05
118,8629,12,2,0.32025269,0.000156805,252.3830897,2.789640403,0.849948032,0.773975905,0.773975905,0.773975905,1.710300811,45,26.41481041,4,19.65123972,4,400,26.82297538,1.751709824,0.555555556,6.48E-05
119,3484,17,2,0.141811617,0.000234666,94.85904813,1.939341549,0.134179375,0.106693862,0.106693862,0.106693862,1.274751852,45,27.7171523,4,20.48685175,4,400,35.43595878,2.87926976,0.555555556,5.28E-05
120,8459,11,2,0.202195591,0.000240595,81.55455887,2.048129344,0.71303993,0.863232255,0.863232255,0.863232255,1.002574176,45,27.48035458,4,19.9806467,4,400,29.93358976,2.408431933,0.555555556,4.29E-05
121,3178,2,2,0.036449455,0.000168378,244.0109861,2.691976301,0.203814528,0.161170303,0.161170303,0.161170303,2.310606408,45,26.04056395,4,20.1252622,4,400,35.80367303,1.825630509,0.555555556,8.54E-05
122,5278,26,2,0.347741256,0.000197314,181.0425457,2.288877918,0.360378813,1.149008631,1.149008631,1.149008631,1.34885899,45,26.90844357,4,21.535595,4,400,32.52759027,1.959202978,0.555555556,5.50E-05
123,8312,15,2,0.11363345,0.000273847,343.5873404,1.595226788,0.669610411,0.450104151,0.450104151,0.450104151,1.783166317,45,28.62693425,4,17.70897259,4,400,38.24203456,2.297745576,0.555555556,6.67E-05
124,6926,25,2,0.282722121,0.000140192,111.5741098,2.822315875,0.523840872,0.235868987,0.235868987,0.235868987,0.755314525,45,27.02127203,4,20.65332843,4,400,34.58529634,2.111103723,0.555555556,1.17E-05
125,5711,1,2,0.054329873,0.000228659,274.1078979,2.199068339,0.408463098,0.64674649,0.64674649,0.64674649,2.065890291,45,25.02931509,4,19.47223982,4,400,43.35028634,2.179314383,0.555555556,7.51E-05
126,6840,3,2,0.367354716,0.000296911,50.82878977,1.842828192,0.152722692,0.520803352,0.520803352,0.520803352,1.540816714,45,26.6370006,4,19.1170401,4,400,31.18339843,2.566275026,0.555555556,6.03E-05
127,11843,24,2,0.195600811,0.000214128,213.2937798,2.51002084,0.868106668,0.937084422,0.937084422,0.937084422,1.974236189,45,28.1438804,4,20.70621261,4,400,36.50923005,1.660754109,0.555555556,7.22E-05
